Voyage_ID,Carrier,Vessel_Name,Vessel_Type,Origin_Port,Destination_Port,Distance_NM,Scheduled_Transit_Days,Departure_Delay_Hours,Average_Speed_Knots,Vessel_Age,Cargo_Load_Percentage,Port_Congestion_Index,Weather_Severity,Fuel_Price_USD,Historical_Route_Delay,Season,Customs_Clearance_Risk,Actual_Delay_Hours,Late_Arrival
V00024,COSCO,Eric Voyager,Container,Shanghai,Rotterdam,1090,2.6,2.8,19.0,5,65.8,4.2,3.6,823.24,10.2,Summer,High,15.3,1
V00025,Maersk,Susan Voyager,Oil Tanker,Los Angeles,Hamburg,9673,22.7,5.8,16.9,20,85.0,92.6,2.4,515.0,17.4,Spring,Medium,20.8,1
V00026,CMA CGM,Matthew Voyager,LNG Carrier,Singapore,Los Angeles,11475,27.1,10.1,21.7,9,49.6,70.1,3.8,465.49,8.5,Autumn,Medium,21.6,1
V00027,Yang Ming,Christopher Voyager,Bulk Carrier,Los Angeles,Mumbai,4228,14.4,6.5,19.9,13,59.7,86.4,9.7,561.65,0.0,Autumn,Medium,30.2,1
V00028,COSCO,Colin Voyager,Oil Tanker,Singapore,Rotterdam,10012,22.6,7.8,15.2,4,75.8,34.6,7.9,624.56,16.9,Autumn,Low,27.8,1
V00029,MSC,Melanie Voyager,LNG Carrier,Colombo,Los Angeles,7644,30.5,2.0,23.1,18,81.2,94.0,7.4,528.81,5.0,Autumn,Low,28.2,1
V00030,COSCO,Cassandra Voyager,Container,Dubai,Busan,5420,15.4,7.6,20.0,11,64.1,29.6,1.3,618.18,4.8,Spring,High,12.0,1
V00031,COSCO,Lindsay Voyager,Bulk Carrier,Colombo,Hamburg,506,1.6,6.5,14.5,26,74.8,65.5,4.6,626.86,13.8,Winter,High,24.5,1
V00032,Hapag-Lloyd,Jessica Voyager,LNG Carrier,Rotterdam,Shanghai,11376,30.2,4.4,16.0,27,97.1,23.5,3.1,772.63,5.6,Autumn,High,11.0,0
V00033,CMA CGM,Amanda Voyager,Container,Singapore,Hamburg,1693,5.0,7.5,22.6,19,51.7,69.6,4.9,547.59,9.6,Winter,High,23.5,1
V00034,Maersk,Teresa Voyager,Container,Busan,Los Angeles,8986,26.2,4.8,18.7,30,90.9,45.6,8.0,717.03,0.0,Summer,High,22.4,1
V00035,Evergreen,Nicholas Voyager,LNG Carrier,Colombo,Mumbai,7805,18.2,4.3,20.9,16,67.0,75.2,8.4,560.92,3.2,Winter,High,26.7,1
V00036,Yang Ming,Andrea Voyager,Bulk Carrier,Hamburg,Mumbai,5181,17.5,8.0,16.0,29,72.4,13.8,2.3,727.58,19.3,Spring,High,18.9,1
V00037,Hapag-Lloyd,Maria Voyager,Container,Busan,Antwerp,8133,24.4,7.3,14.5,14,63.4,77.0,9.5,457.81,7.6,Autumn,High,29.5,1
V00038,COSCO,Christine Voyager,LNG Carrier,Singapore,Busan,7365,20.6,5.9,20.8,26,76.2,22.1,2.2,624.33,8.4,Autumn,Medium,17.7,1
V00039,Maersk,Michelle Voyager,LNG Carrier,Dubai,Antwerp,2591,5.8,5.0,18.4,30,63.6,56.4,0.3,707.1,9.8,Summer,Medium,14.7,1
V00040,CMA CGM,Barbara Voyager,LNG Carrier,Rotterdam,Singapore,5863,20.1,0.2,15.9,25,92.8,27.8,9.5,618.63,14.9,Autumn,Medium,29.2,1
V00041,MSC,Janet Voyager,LNG Carrier,Singapore,Colombo,4173,11.0,10.0,21.4,21,42.4,3.1,2.5,785.69,2.5,Spring,Medium,12.9,1
V00042,CMA CGM,Brandon Voyager,Bulk Carrier,Rotterdam,Mumbai,4071,11.9,0.0,15.1,12,50.1,60.7,7.5,495.81,11.5,Spring,High,30.4,1
V00043,CMA CGM,Jeremy Voyager,Oil Tanker,Shanghai,Singapore,11597,26.9,1.0,16.5,23,51.9,59.2,8.3,547.14,4.6,Autumn,High,25.7,1
V00044,ONE,Keith Voyager,Container,Colombo,Singapore,7518,19.7,3.5,12.8,21,60.5,85.0,8.2,492.22,0.0,Autumn,High,27.7,1
V00045,Evergreen,Christopher Voyager,LNG Carrier,Rotterdam,Antwerp,9048,20.4,0.7,15.2,26,95.2,77.5,4.6,780.29,10.8,Summer,High,21.7,1
V00046,ONE,Jesse Voyager,Oil Tanker,Los Angeles,Shanghai,4495,11.2,13.7,18.8,22,62.7,2.9,8.5,522.74,3.3,Autumn,Medium,23.3,1
V00047,Hapag-Lloyd,Craig Voyager,Oil Tanker,Hamburg,Busan,11988,28.1,10.1,18.7,17,96.9,8.6,7.2,645.43,0.6,Autumn,High,19.8,1
V00048,Hapag-Lloyd,Joshua Voyager,LNG Carrier,Antwerp,Mumbai,5320,18.1,12.5,20.3,10,79.8,36.9,5.5,587.5,0.0,Spring,Low,19.9,1
V00049,Evergreen,Cynthia Voyager,Oil Tanker,Antwerp,Hamburg,4277,15.6,7.3,14.3,4,84.6,95.1,6.9,526.62,12.7,Autumn,Medium,29.9,1
V00050,Yang Ming,Michael Voyager,Oil Tanker,Colombo,Mumbai,3680,11.9,0.0,16.3,10,40.8,53.4,2.7,839.72,11.1,Autumn,Low,16.8,1
V00051,ONE,Mitchell Voyager,Bulk Carrier,Antwerp,Shanghai,5158,15.0,7.3,17.3,6,97.9,25.2,8.6,495.63,10.1,Spring,High,24.8,1
V00052,MSC,Jason Voyager,LNG Carrier,Antwerp,Shanghai,2944,7.1,7.2,23.4,3,99.6,11.8,7.6,692.53,9.8,Spring,Low,18.8,1
V00053,Hapag-Lloyd,Joseph Voyager,LNG Carrier,Antwerp,Mumbai,7525,24.2,15.3,19.5,20,97.6,9.9,7.6,700.21,10.8,Autumn,High,24.1,1
V00054,ONE,Sharon Voyager,Container,Rotterdam,Hamburg,1729,6.1,9.3,16.9,23,75.6,29.1,2.3,732.78,2.2,Summer,High,15.4,1
V00055,Yang Ming,Deborah Voyager,Container,Los Angeles,Dubai,2380,6.6,11.8,19.8,30,55.9,14.2,0.6,767.05,3.1,Summer,Medium,12.0,1
V00056,ONE,Chelsea Voyager,LNG Carrier,Shanghai,Mumbai,7094,16.2,8.1,18.0,16,66.3,59.8,8.9,743.81,12.9,Autumn,High,36.6,1
V00057,ONE,George Voyager,Container,Shanghai,Hamburg,4915,13.5,4.8,21.2,6,68.2,65.2,9.2,522.6,3.5,Spring,High,25.2,1
V00058,COSCO,Jessica Voyager,LNG Carrier,Shanghai,Mumbai,5960,19.0,1.9,13.3,6,59.8,69.4,2.9,828.08,7.5,Autumn,Medium,18.4,1
V00059,Maersk,Frank Voyager,LNG Carrier,Shanghai,Busan,2399,5.4,7.4,16.9,17,89.5,0.1,8.7,634.79,13.0,Autumn,Medium,25.1,1
V00060,Maersk,Noah Voyager,Bulk Carrier,Mumbai,Dubai,7742,19.3,13.3,14.4,18,47.9,28.8,8.8,643.88,6.4,Winter,High,34.2,1
V00061,Maersk,Veronica Voyager,Bulk Carrier,Rotterdam,Dubai,7184,26.7,9.1,23.9,30,46.8,94.7,6.5,511.59,2.9,Spring,High,25.3,1
V00062,ONE,Danielle Voyager,Oil Tanker,Busan,Mumbai,7983,22.2,8.4,16.6,30,76.0,74.6,1.4,477.92,6.7,Winter,Low,20.9,1
V00063,COSCO,Angela Voyager,Oil Tanker,Mumbai,Hamburg,5391,12.9,8.4,19.0,22,69.4,14.9,5.4,588.05,7.6,Spring,Medium,17.3,1
V00064,COSCO,Gabrielle Voyager,LNG Carrier,Dubai,Los Angeles,6774,22.8,0.0,21.3,2,59.1,47.3,9.1,602.49,5.3,Summer,High,24.7,1
V00065,CMA CGM,Megan Voyager,LNG Carrier,Singapore,Los Angeles,7713,28.6,7.1,22.9,1,83.3,41.0,6.5,511.74,0.5,Autumn,Low,18.5,1
V00066,Yang Ming,Kimberly Voyager,Oil Tanker,Dubai,Antwerp,11548,27.4,7.9,16.6,11,77.6,88.7,4.9,666.41,2.7,Spring,Medium,25.0,1
V00067,MSC,Jeremy Voyager,Bulk Carrier,Hamburg,Los Angeles,2112,5.3,6.3,20.4,4,66.6,69.4,9.0,468.4,1.1,Spring,Medium,27.8,1
V00068,Maersk,Antonio Voyager,Oil Tanker,Dubai,Busan,4500,12.6,8.8,18.8,26,50.8,17.5,6.1,603.02,14.5,Winter,Low,25.9,1
V00069,Hapag-Lloyd,Leslie Voyager,LNG Carrier,Colombo,Rotterdam,10951,36.4,0.0,15.1,1,93.9,46.5,2.9,668.64,2.4,Summer,Medium,12.8,1
V00070,MSC,Joseph Voyager,LNG Carrier,Dubai,Hamburg,4597,13.5,8.6,15.6,13,91.2,10.7,3.8,593.58,11.1,Winter,High,24.8,1
V00071,ONE,Jason Voyager,Oil Tanker,Singapore,Antwerp,9772,23.1,8.9,21.3,2,94.6,74.5,8.3,811.17,14.8,Autumn,Low,34.5,1
V00072,Hapag-Lloyd,Sherri Voyager,Oil Tanker,Los Angeles,Hamburg,11300,29.3,9.3,13.6,4,94.2,64.6,3.1,626.33,6.1,Autumn,High,21.7,1
V00073,Evergreen,Nancy Voyager,Bulk Carrier,Shanghai,Dubai,7307,25.6,2.1,13.6,18,92.6,36.6,5.0,559.01,6.6,Autumn,High,16.9,1
V00074,CMA CGM,Leonard Voyager,Oil Tanker,Antwerp,Hamburg,8173,18.5,6.4,13.7,8,91.6,72.4,9.8,836.91,21.9,Autumn,Low,34.6,1
V00075,Evergreen,Diana Voyager,Container,Busan,Singapore,2524,7.4,9.4,20.1,22,55.7,38.1,6.4,598.59,0.0,Autumn,High,19.6,1
V00076,Hapag-Lloyd,Randall Voyager,LNG Carrier,Singapore,Colombo,4126,10.9,11.4,19.6,15,94.6,30.2,4.1,505.91,8.4,Autumn,High,17.4,1
V00077,Maersk,Robin Voyager,Oil Tanker,Antwerp,Shanghai,9307,33.6,2.4,17.4,22,97.0,69.6,5.4,684.94,12.1,Spring,Low,23.6,1
V00078,CMA CGM,Stephen Voyager,LNG Carrier,Shanghai,Mumbai,1036,2.7,7.1,14.6,15,97.0,85.5,1.0,724.27,8.3,Winter,Medium,18.0,1
V00079,Evergreen,Joseph Voyager,Container,Busan,Hamburg,7950,29.6,16.7,14.5,21,75.8,2.1,7.9,547.43,11.8,Summer,Low,23.7,1
V00080,CMA CGM,John Voyager,Bulk Carrier,Shanghai,Colombo,4038,9.8,6.9,14.8,25,48.9,90.1,0.0,793.36,4.0,Summer,High,18.5,1
V00081,CMA CGM,Anna Voyager,Bulk Carrier,Mumbai,Hamburg,11330,26.8,2.0,13.6,12,87.4,23.8,3.2,519.7,7.3,Summer,Low,14.0,1
V00082,Maersk,Jose Voyager,Bulk Carrier,Busan,Colombo,1541,4.5,10.3,21.3,17,75.6,45.2,2.2,696.04,0.8,Spring,High,13.2,1
V00083,ONE,Brenda Voyager,LNG Carrier,Singapore,Shanghai,7484,19.3,3.6,17.9,30,66.6,89.9,3.2,509.33,4.1,Winter,Medium,24.8,1
V00084,CMA CGM,Rachael Voyager,Oil Tanker,Colombo,Mumbai,10287,28.9,8.0,17.4,20,65.8,79.3,1.1,711.89,0.4,Autumn,Medium,18.1,1
V00085,Hapag-Lloyd,Reginald Voyager,LNG Carrier,Antwerp,Los Angeles,7930,24.0,16.6,20.8,11,65.6,66.5,3.7,511.06,14.2,Winter,Medium,24.2,1
V00086,Yang Ming,Jeffrey Voyager,Container,Shanghai,Rotterdam,2082,5.2,3.6,16.5,5,73.4,58.6,5.6,581.86,15.6,Spring,Medium,23.8,1
V00087,MSC,Whitney Voyager,LNG Carrier,Dubai,Antwerp,10337,33.1,8.2,13.2,17,52.8,65.7,2.2,493.29,12.6,Spring,Medium,19.6,1
V00088,Evergreen,William Voyager,Container,Hamburg,Los Angeles,10686,28.7,5.7,19.7,1,76.5,65.8,6.9,461.58,0.0,Winter,High,20.2,1
V00089,ONE,Christopher Voyager,Oil Tanker,Dubai,Busan,2847,7.8,4.7,16.8,5,84.5,97.2,0.9,662.19,0.5,Spring,Low,19.1,1
V00090,COSCO,Brandon Voyager,LNG Carrier,Antwerp,Dubai,5605,14.2,0.0,21.3,19,75.8,88.3,1.6,751.77,5.4,Summer,Medium,15.5,1
V00091,Maersk,Daniel Voyager,Container,Hamburg,Mumbai,10446,30.9,13.2,15.3,25,70.7,34.5,1.1,721.29,0.0,Winter,Medium,15.6,1
V00092,Yang Ming,Courtney Voyager,Oil Tanker,Singapore,Hamburg,1397,5.6,6.1,15.6,7,86.0,76.4,2.9,497.99,2.1,Winter,High,19.2,1
V00093,Yang Ming,Laura Voyager,LNG Carrier,Rotterdam,Los Angeles,4270,12.2,7.0,22.0,26,61.3,39.7,7.4,624.49,4.4,Winter,High,22.8,1
V00094,Yang Ming,Robert Voyager,Container,Dubai,Antwerp,10988,32.9,4.1,13.4,1,98.0,17.2,9.5,634.04,8.7,Winter,High,25.9,1
V00095,Evergreen,Bryan Voyager,Container,Busan,Shanghai,10148,30.7,13.9,12.9,28,58.6,34.0,3.3,517.25,0.6,Summer,Medium,22.2,1
V00096,MSC,Patrick Voyager,Bulk Carrier,Dubai,Busan,2184,7.8,0.0,14.4,20,49.2,75.9,0.8,830.52,7.1,Summer,Low,15.6,1
V00097,Yang Ming,Wendy Voyager,LNG Carrier,Colombo,Antwerp,5679,20.3,7.4,12.8,15,77.9,79.6,5.9,590.78,4.3,Autumn,High,25.6,1
V00098,MSC,Allison Voyager,Oil Tanker,Antwerp,Mumbai,6541,15.7,3.5,12.9,28,98.6,9.0,5.9,603.79,4.5,Spring,Low,18.2,1
V00099,Maersk,Tasha Voyager,LNG Carrier,Colombo,Los Angeles,8292,23.7,7.8,23.5,15,46.2,89.9,3.4,735.73,3.8,Autumn,High,22.3,1
V00100,CMA CGM,Michelle Voyager,Container,Los Angeles,Mumbai,9064,24.4,7.5,16.4,30,57.0,40.9,3.4,689.15,12.9,Winter,High,22.3,1
V00101,Evergreen,Alexander Voyager,Container,Dubai,Shanghai,4628,11.7,1.9,19.9,30,76.2,15.0,0.8,715.44,4.6,Winter,Medium,8.2,0
V00102,Evergreen,Jennifer Voyager,Oil Tanker,Busan,Rotterdam,9657,29.7,9.1,21.5,27,47.7,70.3,9.5,848.87,7.9,Spring,Medium,33.0,1
V00103,MSC,Erin Voyager,LNG Carrier,Mumbai,Dubai,5560,19.4,12.4,14.6,25,69.2,22.7,1.4,480.87,4.5,Spring,Medium,15.0,1
V00104,MSC,Amanda Voyager,Container,Dubai,Rotterdam,3158,11.0,5.0,20.3,20,88.5,16.6,4.4,614.34,6.7,Winter,Low,17.1,1
V00105,Hapag-Lloyd,Joseph Voyager,LNG Carrier,Colombo,Hamburg,9249,31.1,10.1,23.6,26,68.1,83.5,3.7,828.85,12.9,Winter,Low,28.1,1
V00106,Yang Ming,Danielle Voyager,LNG Carrier,Hamburg,Antwerp,3771,9.2,6.1,13.7,9,43.1,48.1,3.7,823.72,12.1,Winter,Low,19.8,1
V00107,MSC,Daniel Voyager,Oil Tanker,Shanghai,Los Angeles,8910,31.9,7.6,17.2,30,53.3,45.1,3.5,460.67,7.2,Autumn,Medium,19.7,1
V00108,Maersk,Ryan Voyager,LNG Carrier,Mumbai,Dubai,1837,5.7,9.0,12.3,30,45.9,71.5,3.4,508.42,3.1,Summer,Medium,25.7,1
V00109,Maersk,Shawn Voyager,Oil Tanker,Antwerp,Rotterdam,10581,42.1,1.0,13.0,9,52.9,15.0,9.4,693.55,0.7,Winter,Medium,22.2,1
V00110,COSCO,Stephanie Voyager,Container,Hamburg,Los Angeles,1282,4.3,10.0,19.7,20,67.4,11.1,9.1,688.7,11.7,Autumn,Low,28.5,1
V00111,Maersk,Nancy Voyager,Bulk Carrier,Rotterdam,Dubai,10573,33.0,5.9,18.8,6,79.9,8.6,9.7,477.07,2.6,Winter,Low,22.3,1
V00112,Maersk,Jose Voyager,LNG Carrier,Antwerp,Singapore,4655,11.7,2.6,16.3,3,60.7,73.3,6.3,758.6,13.9,Winter,Medium,26.7,1
V00113,Evergreen,Vincent Voyager,Bulk Carrier,Singapore,Busan,3368,8.1,1.9,20.2,23,68.7,18.2,1.3,736.42,6.1,Autumn,High,8.9,0
V00114,Yang Ming,Guy Voyager,Container,Hamburg,Los Angeles,1186,3.8,3.2,15.7,13,99.3,54.3,2.5,751.32,3.1,Spring,Low,14.8,1
V00115,Hapag-Lloyd,Rita Voyager,Oil Tanker,Dubai,Singapore,2539,6.2,7.2,17.2,13,84.6,89.5,3.9,839.49,5.0,Autumn,Medium,22.7,1
V00116,Yang Ming,Monica Voyager,LNG Carrier,Dubai,Colombo,7455,28.0,7.2,19.2,27,50.8,29.4,1.0,581.17,0.0,Autumn,Low,6.6,0
V00117,ONE,Kenneth Voyager,Oil Tanker,Antwerp,Busan,7772,24.3,2.4,12.5,28,94.7,61.5,4.3,705.79,6.7,Summer,High,20.9,1
V00118,Maersk,Danielle Voyager,Container,Busan,Dubai,2839,6.8,13.4,20.1,15,42.1,6.7,7.8,596.53,13.1,Summer,Low,25.7,1
V00119,COSCO,Chelsea Voyager,Container,Colombo,Rotterdam,6595,19.5,5.9,12.9,5,71.8,39.8,6.5,549.84,2.0,Winter,Medium,20.1,1
V00120,MSC,Eric Voyager,Container,Rotterdam,Mumbai,2429,8.0,4.6,15.1,15,52.9,61.2,6.9,849.45,9.9,Winter,High,24.9,1
V00121,Hapag-Lloyd,Kathryn Voyager,Container,Rotterdam,Shanghai,7792,17.3,8.6,21.7,28,99.2,66.8,7.1,670.0,17.2,Winter,Low,31.2,1
V00122,ONE,Amber Voyager,Oil Tanker,Rotterdam,Los Angeles,4173,15.2,8.0,14.4,5,54.2,49.4,3.6,678.91,12.1,Autumn,High,20.3,1
V00123,Yang Ming,Kimberly Voyager,Bulk Carrier,Colombo,Shanghai,7023,15.6,7.1,20.6,17,64.6,40.9,5.7,500.13,8.1,Spring,Medium,21.6,1
V00124,Evergreen,Alyssa Voyager,Container,Antwerp,Mumbai,9532,25.2,2.1,14.2,5,66.0,91.1,0.6,499.66,8.1,Autumn,Low,17.4,1
V00125,CMA CGM,Aaron Voyager,Oil Tanker,Rotterdam,Los Angeles,4194,13.1,13.3,23.3,29,57.0,7.9,2.0,832.54,13.8,Autumn,High,19.7,1
V00126,ONE,Mario Voyager,Bulk Carrier,Hamburg,Colombo,11001,38.8,2.2,23.3,5,50.3,62.4,9.0,585.05,13.2,Spring,High,28.5,1
V00127,Maersk,Andrew Voyager,Container,Shanghai,Singapore,3953,9.8,16.9,17.0,21,41.8,88.9,5.5,706.76,3.2,Autumn,High,28.8,1
V00128,ONE,Sarah Voyager,LNG Carrier,Los Angeles,Antwerp,1695,4.4,3.0,13.9,14,69.1,20.4,6.1,575.03,0.0,Autumn,Medium,14.4,1
V00129,Evergreen,Natasha Voyager,Oil Tanker,Busan,Rotterdam,9702,35.8,2.2,14.9,4,56.0,24.8,1.0,566.08,8.9,Autumn,High,10.2,0
V00130,COSCO,Marie Voyager,LNG Carrier,Los Angeles,Rotterdam,5623,19.5,15.4,13.9,17,68.0,87.9,5.0,486.02,13.7,Autumn,High,31.7,1
V00131,COSCO,Kyle Voyager,LNG Carrier,Los Angeles,Hamburg,1328,4.3,1.5,19.2,27,79.3,47.1,5.4,788.87,11.0,Autumn,Low,18.7,1
V00132,COSCO,Brian Voyager,Bulk Carrier,Hamburg,Busan,1241,3.8,15.2,18.8,7,61.8,28.9,3.9,630.14,15.1,Winter,Medium,22.5,1
V00133,ONE,Natalie Voyager,Container,Rotterdam,Shanghai,6055,16.7,0.0,16.4,5,51.9,50.9,5.0,468.12,16.1,Winter,Medium,21.6,1
V00134,CMA CGM,Stacey Voyager,Oil Tanker,Antwerp,Colombo,10432,24.3,12.2,13.7,30,76.8,16.3,9.9,745.73,0.0,Winter,Low,25.6,1
V00135,ONE,Christopher Voyager,Oil Tanker,Mumbai,Colombo,9722,31.4,6.0,21.8,12,59.9,11.0,4.2,573.07,8.3,Winter,High,13.1,1
V00136,Maersk,Todd Voyager,LNG Carrier,Hamburg,Los Angeles,8371,29.5,9.1,19.5,20,86.5,38.0,8.2,546.88,1.6,Spring,High,24.2,1
V00137,MSC,Chad Voyager,Bulk Carrier,Singapore,Mumbai,2981,9.0,6.6,14.4,17,86.5,92.1,8.7,744.33,11.1,Autumn,Medium,36.4,1
V00138,Maersk,Kathleen Voyager,Bulk Carrier,Mumbai,Los Angeles,8337,23.5,0.4,15.8,6,67.6,53.3,5.5,720.35,0.0,Autumn,High,19.3,1
V00139,ONE,Katie Voyager,LNG Carrier,Los Angeles,Hamburg,5390,18.3,7.7,23.7,10,86.3,70.5,6.9,645.6,3.5,Autumn,High,27.1,1
V00140,Yang Ming,David Voyager,Oil Tanker,Mumbai,Hamburg,9895,25.7,6.6,16.6,13,89.1,95.5,8.0,566.18,15.1,Autumn,Low,35.7,1
V00141,ONE,Thomas Voyager,Container,Dubai,Mumbai,8349,28.5,16.3,21.9,9,96.0,69.6,1.4,696.27,18.5,Autumn,High,24.0,1
V00142,Hapag-Lloyd,Andrea Voyager,Bulk Carrier,Singapore,Colombo,4314,16.6,10.9,17.0,23,68.3,68.1,1.4,835.81,11.9,Summer,High,24.2,1
V00143,CMA CGM,Joseph Voyager,LNG Carrier,Antwerp,Mumbai,5762,18.8,1.2,12.7,25,45.4,57.4,5.4,739.25,12.1,Summer,Medium,25.4,1
V00144,Maersk,Monique Voyager,Bulk Carrier,Busan,Rotterdam,8616,30.0,0.0,21.0,28,95.6,87.7,0.1,677.18,0.9,Spring,Medium,7.2,0
V00145,MSC,Rodney Voyager,Oil Tanker,Hamburg,Mumbai,8761,25.5,4.7,14.3,4,59.8,73.1,6.5,737.44,12.3,Winter,Low,30.7,1
V00146,Maersk,Jason Voyager,Oil Tanker,Hamburg,Los Angeles,10964,25.5,6.4,21.9,17,59.7,40.1,1.0,842.67,17.8,Summer,High,13.1,1
V00147,Yang Ming,Amber Voyager,Oil Tanker,Los Angeles,Singapore,4358,12.8,0.0,15.2,11,58.1,72.3,0.1,711.47,7.7,Autumn,Medium,13.3,1
V00148,Hapag-Lloyd,Jessica Voyager,Container,Shanghai,Mumbai,7142,18.4,5.8,23.1,29,82.2,31.1,1.2,816.45,0.0,Autumn,Low,7.7,0
V00149,ONE,James Voyager,Oil Tanker,Colombo,Los Angeles,8334,29.7,0.0,21.0,20,62.4,70.2,9.1,752.94,12.0,Summer,Low,30.1,1
V00150,Hapag-Lloyd,Larry Voyager,Bulk Carrier,Colombo,Shanghai,6427,24.2,1.3,18.8,2,89.7,90.3,2.0,664.66,4.9,Winter,High,14.6,1
V00151,CMA CGM,Wanda Voyager,Oil Tanker,Mumbai,Antwerp,3865,9.8,5.7,17.9,29,70.6,80.9,4.5,655.3,13.7,Spring,High,25.3,1
V00152,Yang Ming,Debra Voyager,Container,Mumbai,Antwerp,856,2.6,8.5,21.8,24,53.1,7.3,4.2,730.15,4.8,Autumn,High,12.3,1
V00153,Maersk,Samuel Voyager,Container,Antwerp,Singapore,3448,8.5,5.5,21.2,24,78.8,42.0,9.9,602.99,1.8,Autumn,Medium,24.9,1
V00154,COSCO,Zachary Voyager,LNG Carrier,Shanghai,Colombo,6197,22.6,0.0,23.9,13,71.7,72.8,2.2,451.39,19.8,Summer,High,19.0,1
V00155,Maersk,David Voyager,Oil Tanker,Antwerp,Colombo,6714,16.2,2.5,15.0,12,49.3,18.8,8.8,756.2,9.3,Winter,High,23.3,1
V00156,Maersk,Jeffrey Voyager,LNG Carrier,Colombo,Singapore,1602,5.9,4.9,12.4,20,80.3,87.2,2.4,467.69,11.7,Summer,Low,24.2,1
